,Title,Runtime,Genre,Wins,Nominations,Box Office
0,Parasite,132,"Comedy, Drama, Thriller",308,271,53369749
1,Green Book,130,"Biography, Comedy, Drama",59,124,85080171
2,The Shape of Water,123,"Drama, Fantasy, Romance",138,358,63859435
3,Moonlight,111,Drama,228,296,27854932
4,Spotlight,129,"Biography, Crime, Drama",124,143,45055776
5,Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",193,292,42340598
6,12 Years a Slave,134,"Biography, Drama, History",242,336,56671993
7,Argo,120,"Biography, Drama, Thriller",94,156,136025503
8,The Artist,100,"Comedy, Drama, Romance",162,204,44671682
9,The King's Speech,118,"Biography, Drama, History",108,206,138797449
